2025-10-15T00:32:41.465135+0530 | INFO | Index built. Starting API... | {}
2025-10-15T00:35:36.982987+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T00:45:49.715386+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T00:46:46.765365+0530 | INFO | Retrieved agricultural data: 10 records | {}
2025-10-15T00:46:46.815702+0530 | INFO | Retrieved climate data: 9 records | {}
2025-10-15T00:46:47.181883+0530 | INFO | Combined dataset: 4 records | {}
2025-10-15T00:46:47.259918+0530 | INFO | Query using Gemini 2.0 Flash: What was the total rice production in Maharashtra  | {}
2025-10-15T00:49:35.632533+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T19:07:18.983486+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-15T19:07:19.261281+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-15T19:07:19.271652+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
2025-10-15T19:07:19.272178+0530 | INFO | Chunked 0 documents from data/raw\sample_agri_data.csv | {}
2025-10-15T19:07:25.380859+0530 | INFO | Vector store built | {}
2025-10-15T19:07:25.382329+0530 | INFO | Index built. Starting API... | {}
2025-10-15T19:09:40.016914+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T20:20:49.689814+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T20:21:51.460560+0530 | INFO | Using Gemini 2.0 Flash LLM | {}
2025-10-15T20:33:12.402572+0530 | INFO | Chunked 184 documents from data/raw\agricultural_production_2020_2023.csv | {}
2025-10-15T20:33:12.558571+0530 | INFO | Chunked 148 documents from data/raw\climate_data_2020_2023.csv | {}
2025-10-15T20:33:12.565466+0530 | WARNING | Missing required columns ['State', 'Year'] in data/raw\sample_agri_data.csv, skipping agricultural chunking | {}
